iter	Passed	Remaining
0	3	3740
1	11	5539
2	17	5961
3	24	6085
4	30	6096
5	36	6086
6	43	6170
7	50	6213
8	56	6226
9	62	6218
10	69	6210
11	75	6247
12	82	6271
13	89	6271
14	96	6317
15	103	6376
16	110	6406
17	119	6492
18	126	6528
19	135	6630
20	142	6655
21	148	6620
22	155	6604
23	164	6686
24	171	6680
25	178	6673
26	184	6639
27	191	6651
28	198	6646
29	206	6675
30	213	6685
31	224	6781
32	232	6809
33	240	6845
34	250	6900
35	258	6920
36	266	6938
37	273	6923
38	281	6927
39	288	6920
40	295	6921
41	303	6913
42	311	6922
43	318	6930
44	325	6915
45	333	6911
46	341	6916
47	348	6911
48	354	6884
49	361	6859
50	367	6838
51	373	6808
52	380	6803
53	388	6798
54	394	6777
55	402	6777
56	408	6752
57	414	6733
58	420	6707
59	426	6675
60	432	6654
61	438	6626
62	443	6599
63	450	6585
64	455	6557
65	461	6528
66	467	6505
67	473	6486
68	479	6472
69	485	6451
70	492	6438
71	499	6438
72	506	6432
73	512	6414
74	518	6390
75	523	6360
76	528	6337
77	534	6313
78	540	6295
79	545	6278
80	552	6267
81	557	6242
82	564	6236
83	571	6230
84	577	6220
85	584	6215
86	591	6204
87	596	6186
88	602	6170
89	608	6152
90	613	6129
91	619	6112
92	624	6091
93	629	6069
94	635	6051
95	640	6030
96	645	6010
97	651	5994
98	656	5978
99	661	5957
100	667	5939
101	672	5920
102	677	5897
103	681	5875
104	688	5865
105	694	5854
106	700	5844
107	706	5831
108	711	5817
109	717	5806
110	723	5791
111	728	5778
112	734	5769
113	740	5754
114	746	5741
115	751	5728
116	757	5716
117	762	5699
118	767	5682
119	772	5665
120	778	5655
121	785	5651
122	790	5639
123	798	5637
124	810	5670
125	822	5705
126	835	5743
127	844	5754
128	851	5750
129	861	5765
130	871	5778
131	879	5786
132	887	5783
133	893	5774
134	899	5764
135	905	5753
136	911	5744
137	917	5733
138	924	5729
139	931	5721
140	937	5714
141	943	5699
142	949	5691
143	957	5690
144	966	5696
145	974	5700
146	983	5705
147	991	5709
148	998	5700
149	1006	5701
150	1013	5698
151	1019	5685
152	1025	5679
153	1032	5669
154	1039	5664
155	1044	5653
156	1051	5643
157	1056	5632
158	1062	5621
159	1068	5608
160	1073	5594
161	1078	5580
162	1084	5568
163	1090	5556
164	1095	5546
165	1101	5536
166	1107	5525
167	1113	5514
168	1118	5500
169	1123	5486
170	1128	5472
171	1134	5459
172	1139	5445
173	1144	5432
174	1150	5423
175	1155	5411
176	1162	5404
177	1168	5394
178	1174	5388
179	1182	5385
180	1189	5380
181	1197	5380
182	1204	5376
183	1209	5365
184	1215	5355
185	1221	5346
186	1227	5335
187	1233	5325
188	1238	5315
189	1244	5307
190	1250	5294
191	1255	5285
192	1262	5276
193	1267	5264
194	1271	5250
195	1277	5239
196	1282	5228
197	1288	5218
198	1294	5209
199	1300	5200
200	1305	5191
201	1311	5180
202	1316	5168
203	1321	5156
204	1326	5144
205	1332	5134
206	1337	5123
207	1342	5112
208	1347	5099
209	1352	5088
210	1358	5080
211	1364	5070
212	1371	5066
213	1377	5059
214	1383	5051
215	1389	5044
216	1396	5037
217	1402	5030
218	1408	5023
219	1414	5013
220	1420	5005
221	1427	5002
222	1433	4995
223	1441	4992
224	1446	4982
225	1452	4974
226	1459	4969
227	1465	4961
228	1472	4956
229	1477	4947
230	1483	4938
231	1488	4928
232	1493	4918
233	1499	4907
234	1504	4898
235	1509	4886
236	1514	4877
237	1520	4866
238	1525	4856
239	1530	4845
240	1536	4837
241	1542	4830
242	1548	4823
243	1553	4814
244	1560	4807
245	1566	4800
246	1571	4791
247	1577	4784
248	1584	4778
249	1590	4770
250	1595	4762
251	1602	4755
252	1607	4747
253	1613	4738
254	1618	4727
255	1623	4717
256	1628	4708
257	1634	4699
258	1639	4689
259	1644	4679
260	1649	4670
261	1654	4661
262	1659	4651
263	1666	4644
264	1672	4638
265	1678	4630
266	1684	4624
267	1691	4620
268	1697	4614
269	1703	4605
270	1710	4600
271	1717	4595
272	1723	4590
273	1730	4584
274	1737	4580
275	1743	4574
276	1750	4569
277	1757	4564
278	1764	4560
279	1773	4559
280	1782	4560
281	1789	4556
282	1797	4554
283	1804	4548
284	1810	4541
285	1815	4533
286	1820	4523
287	1826	4516
288	1832	4507
289	1838	4501
290	1845	4495
291	1850	4487
292	1858	4484
293	1864	4477
294	1872	4474
295	1878	4468
296	1886	4465
297	1893	4460
298	1900	4456
299	1907	4451
300	1915	4447
301	1921	4441
302	1928	4435
303	1934	4429
304	1940	4421
305	1946	4413
306	1951	4405
307	1956	4396
308	1962	4389
309	1968	4381
310	1974	4373
311	1982	4371
312	1988	4363
313	1993	4356
314	1999	4348
315	2005	4341
316	2011	4333
317	2017	4326
318	2022	4318
319	2028	4309
320	2034	4302
321	2039	4293
322	2044	4286
323	2050	4279
324	2057	4273
325	2063	4266
326	2069	4259
327	2074	4251
328	2080	4242
329	2085	4235
330	2091	4226
331	2096	4218
332	2102	4210
333	2109	4205
334	2115	4198
335	2120	4190
336	2126	4183
337	2131	4175
338	2137	4167
339	2143	4160
340	2148	4152
341	2155	4146
342	2160	4139
343	2165	4130
344	2171	4122
345	2177	4115
346	2183	4108
347	2190	4103
348	2195	4096
349	2202	4089
350	2208	4084
351	2214	4077
352	2219	4068
353	2225	4060
354	2230	4052
355	2235	4044
356	2242	4038
357	2247	4029
358	2252	4021
359	2257	4013
360	2262	4005
361	2267	3996
362	2273	3988
363	2278	3980
364	2282	3971
365	2287	3963
366	2292	3954
367	2297	3946
368	2303	3938
369	2308	3930
370	2313	3921
371	2318	3913
372	2322	3904
373	2327	3896
374	2332	3887
375	2337	3879
376	2343	3871
377	2348	3864
378	2353	3857
379	2359	3850
380	2365	3842
381	2370	3835
382	2377	3829
383	2383	3824
384	2389	3817
385	2396	3812
386	2402	3804
387	2408	3798
388	2414	3792
389	2420	3785
390	2425	3778
391	2433	3774
392	2443	3773
393	2449	3767
394	2455	3761
395	2462	3755
396	2468	3749
397	2474	3742
398	2479	3735
399	2486	3729
400	2492	3722
401	2497	3715
402	2502	3707
403	2508	3701
404	2515	3695
405	2520	3687
406	2525	3679
407	2530	3672
408	2536	3665
409	2542	3659
410	2548	3651
411	2554	3645
412	2560	3639
413	2567	3634
414	2573	3628
415	2580	3622
416	2586	3616
417	2593	3611
418	2599	3604
419	2605	3598
420	2611	3590
421	2616	3583
422	2622	3577
423	2627	3569
424	2632	3561
425	2638	3554
426	2643	3547
427	2648	3539
428	2653	3531
429	2658	3524
430	2663	3516
431	2669	3510
432	2675	3503
433	2681	3496
434	2686	3489
435	2692	3482
436	2698	3475
437	2703	3469
438	2709	3462
439	2715	3456
440	2720	3448
441	2726	3441
442	2732	3435
443	2739	3431
444	2746	3425
445	2752	3418
446	2757	3411
447	2763	3405
448	2768	3397
449	2774	3391
450	2780	3385
451	2786	3378
452	2791	3371
453	2797	3364
454	2803	3357
455	2809	3351
456	2829	3361
457	2834	3354
458	2839	3346
459	2844	3339
460	2849	3332
461	2855	3325
462	2860	3317
463	2865	3310
464	2870	3302
465	2875	3294
466	2879	3286
467	2885	3279
468	2890	3273
469	2895	3265
470	2900	3257
471	2905	3250
472	2910	3242
473	2914	3234
474	2920	3227
475	2925	3220
476	2931	3213
477	2936	3207
478	2941	3199
479	2947	3193
480	2953	3187
481	2959	3180
482	2965	3173
483	2970	3166
484	2975	3159
485	2981	3153
486	2987	3146
487	2992	3140
488	2998	3133
489	3004	3127
490	3009	3119
491	3015	3113
492	3021	3106
493	3026	3100
494	3032	3093
495	3038	3087
496	3043	3080
497	3048	3073
498	3054	3066
499	3059	3059
500	3064	3051
501	3069	3045
502	3075	3038
503	3080	3031
504	3085	3024
505	3090	3017
506	3095	3010
507	3101	3003
508	3106	2996
509	3111	2989
510	3117	2983
